Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Avg_Store_Sales,Sales_Variation
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1555264.3975524476,0.0
10,2010-02-05,2193048.75,0,54.34,2.962,126.4420645,9.765,2010,2,5,1899424.5726573425,0.0
37,2010-02-05,536006.73,0,45.97,2.572,209.8529663,8.554,2010,2,5,518900.2819580419,0.0
17,2010-02-05,789036.02,0,23.11,2.666,126.4420645,6.548,2010,2,5,893581.3904195804,0.0
30,2010-02-05,465108.52,0,39.05,2.572,210.7526053,8.324,2010,2,5,438579.6162237762,0.0
25,2010-02-05,677231.63,0,21.1,2.784,204.2471935,8.187,2010,2,5,706721.5326573426,0.0
22,2010-02-05,1033017.37,0,24.36,2.788,135.3524608,8.283,2010,2,5,1028501.0389510489,0.0
23,2010-02-05,1364721.58,0,15.25,2.788,131.5279032,5.892,2010,2,5,1389864.4604895106,0.0
24,2010-02-05,1388725.63,0,22.43,2.954,131.5279032,8.326,2010,2,5,1356755.3935664336,0.0
19,2010-02-05,1507637.17,0,20.96,2.954,131.5279032,8.35,2010,2,5,1444999.0356643356,0.0
21,2010-02-05,798593.88,0,39.05,2.572,210.7526053,8.324,2010,2,5,756069.0833566433,0.0
26,2010-02-05,1034119.21,0,9.55,2.788,131.5279032,8.488,2010,2,5,1002911.8446853146,0.0
39,2010-02-05,1230596.8,0,44.3,2.572,209.8529663,8.554,2010,2,5,1450668.1291608391,0.0
8,2010-02-05,1004137.09,0,34.14,2.572,214.4714512,6.299,2010,2,5,908749.5183916084,0.0
32,2010-02-05,1087616.19,0,34.43,2.58,189.3816974,9.014,2010,2,5,1166568.154965035,0.0
15,2010-02-05,652122.44,0,19.83,2.954,131.5279032,8.35,2010,2,5,623312.474965035,0.0
34,2010-02-05,956228.96,0,35.44,2.598,126.4420645,9.521,2010,2,5,966781.5594405595,0.0
13,2010-02-05,1967220.53,0,31.53,2.666,126.4420645,8.316,2010,2,5,2003620.3062937064,0.0
38,2010-02-05,358496.14,0,49.47,2.962,126.4420645,13.975,2010,2,5,385731.6532867133,0.0
9,2010-02-05,549505.55,0,38.01,2.572,214.6554591,6.415,2010,2,5,543980.5523776223,0.0
2,2010-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,2010,2,5,1925751.3355244757,0.0
45,2010-02-05,890689.51,0,27.31,2.784,181.8711898,8.992,2010,2,5,785981.4085314686,0.0
20,2010-02-05,2401395.47,0,25.92,2.784,204.2471935,8.187,2010,2,5,2107676.8703496503,0.0
27,2010-02-05,1874289.79,0,27.19,2.954,135.3524608,8.237,2010,2,5,1775216.2019580419,0.0
41,2010-02-05,1086533.18,0,30.27,2.58,189.3816974,7.541,2010,2,5,1268125.418811189,0.0
4,2010-02-05,2135143.87,0,43.76,2.598,126.4420645,8.623,2010,2,5,2094712.9606993007,0.0
31,2010-02-05,1469252.05,0,39.05,2.572,210.7526053,8.324,2010,2,5,1395901.437062937,0.0
16,2010-02-05,477409.3,0,19.79,2.58,189.3816974,7.039,2010,2,5,519247.7300699301,0.0
11,2010-02-05,1528008.64,0,46.04,2.572,214.4248812,7.368,2010,2,5,1356383.1244755245,0.0
36,2010-02-05,467546.74,0,45.97,2.545,209.8529663,8.554,2010,2,5,373511.9927972028,0.0
42,2010-02-05,543384.01,0,54.34,2.962,126.4420645,9.765,2010,2,5,556403.863146853,0.0
5,2010-02-05,317173.1,0,39.7,2.572,211.6539716,6.566,2010,2,5,318011.8104895105,0.0
43,2010-02-05,647029.28,0,47.31,2.572,203.0642742,9.521,2010,2,5,633324.7231468532,0.0
35,2010-02-05,1230613.5,0,27.19,2.784,135.3524608,9.262,2010,2,5,919724.9795804196,0.0
28,2010-02-05,1672352.29,0,49.47,2.962,126.4420645,13.975,2010,2,5,1323522.241818182,0.0
6,2010-02-05,1652635.1,0,40.43,2.572,212.6223518,7.259,2010,2,5,1564728.1862937063,0.0
33,2010-02-05,274593.43,0,58.4,2.962,126.4420645,10.115,2010,2,5,259861.69202797202,0.0
44,2010-02-05,281090.95,0,31.53,2.666,126.4420645,8.119,2010,2,5,302748.86601398606,0.0
